Tenor/Strike,-0.75%,-0.50%,-0.25%,ATM,0.00%,0.25%,0.50%,0.75%,1.00%,1.50%,2.00%,2.50%,3.00%,3.50%,4.00%,4.50%,5.00%,6.00%,7.00%
1Y,161.1,158.9,156.9,91.1,154.3,151.4,148.2,145.1,141.1,133.4,125.3,117,108.8,100.9,93,84.5,91.5,121,121
2Y,141.3,140.4,139.3,106.6,138,136.4,134.6,132.6,130.5,126.1,121.5,117,112.7,108.9,105.7,103.7,110.9,131.3,148.7
3Y,125.4,125,125,109.9,124.5,123.7,122.7,121.5,120.3,117.8,115.4,113.2,111.4,110.2,109.8,110.8,117.8,135.4,151.5
4Y,118.9,118.9,118.6,109.9,118.1,117.5,116.7,115.8,114.8,113,111.3,110.1,109.5,109.6,110.6,113,119.7,135.7,150.8
5Y,114.8,114.6,114.6,109.4,114.2,113.6,112.9,112.1,111.3,109.8,108.5,107.8,107.8,108.6,110.3,113.2,119.5,134.2,148.4
6Y,111.3,111.3,111.2,108.1,110.9,110.4,109.8,109.2,108.5,107.3,106.4,106.1,106.4,107.5,109.5,112.7,118.6,132,145.2
7Y,108.1,108.1,108.1,107.1,107.9,107.5,107,106.5,106,105.1,104.3,104.3,104.9,106.3,108.5,111.7,117.2,129.6,142
8Y,105.3,105.5,105.5,105.9,105.4,105.1,104.7,104.3,103.9,103.2,102.8,102.9,103.7,105.2,107.5,110.8,116,127.6,139.2
9Y,103.1,103.2,103.2,104.7,103.1,102.9,102.6,102.2,101.9,101.4,101.4,101.4,102.3,103.9,106.3,109.5,114.5,125.9,136.5
10Y,100.9,101.1,101.2,103.6,101.2,101,100.8,100.5,100.2,99.8,99.7,100.1,101.1,102.7,105.1,108.4,113.1,123.5,134.1
12Y,98,98.2,98.3,101.5,98.3,98.1,97.9,97.7,97.4,97.1,97.2,97.7,98.8,100.5,102.9,106.1,110.4,120,129.9
15Y,94.5,94.7,94.7,98.5,94.7,94.5,94.3,94.1,93.9,93.7,93.8,94.4,95.6,97.4,99.8,102.8,106.8,115.6,124.8
20Y,89,89.1,89.2,94.1,89.2,89.1,88.9,88.8,88.7,88.6,88.9,89.7,91.1,93,95.4,98.4,102.2,110.5,119.2
25Y,84,84.2,84.3,91,84.3,84.3,84.3,84.3,84.3,84.5,85.2,86.2,87.9,90.1,92.8,95.9,99.6,107.8,116.4
30Y,79.7,80,80.2,88.7,80.3,80.4,80.5,80.7,80.8,81.4,82.4,83.8,85.8,88.2,91,94.3,98,106.2,114.8
