Tenor/Strike,-2.00%,-1.00%,-0.50%,-0.25%,ATM,0.00%,0.25%,0.50%,0.75%,1.00%,1.25%,1.50%,2.00%,2.50%,3.00%,3.50%,4.00%,4.50%,5.00%,5.50%,6.00%,6.50%,7.00%
1Y,202.78,196.03,189.08,106.78,181.9,181.9,177.48,173.33,169.79,165.56,161.23,156.82,147.77,138.46,128.87,118.98,109.14,95.5,105.17,115.22,124.77,134.31,143.31
2Y,159.97,156.48,152.57,150.47,138.69,148.32,146.14,143.93,141.72,139.53,137.36,135.23,131.17,127.44,124.03,120.84,118,114.85,122.54,130.45,137.97,145.41,152.82
3Y,142.24,140.08,137.16,135.84,118.74,134.03,132.46,130.9,129.36,127.89,126.48,125.16,122.85,121.07,119.84,119.07,118.84,119.03,125.62,132.42,139.09,145.75,152.31
4Y,131.71,130.44,128.11,126.88,116.9,125.64,124.4,123.2,122.05,120.96,119.96,119.06,117.63,116.78,116.54,116.83,117.71,119.14,124.9,130.87,136.83,142.85,148.94
5Y,123.43,122.75,120.86,119.74,114.72,119.06,118.13,117.23,116.39,115.61,114.93,114.35,113.35,113.32,113.66,114.54,115.95,117.9,123.03,128.33,133.67,139.02,144.57
6Y,116.82,117.07,115.68,114.93,112.61,114.18,113.46,112.78,112.15,111.59,111.11,110.74,110.35,110.49,111.18,112.37,114.05,116.22,120.84,125.61,130.45,135.38,140.39
7Y,112.46,113.03,111.93,111.44,110.67,110.59,109.92,109.34,108.93,108.59,108.35,108.2,108.13,108.57,109.51,111.03,112.94,114.53,118.81,122.99,127.73,132.53,137.04
8Y,109.35,110.05,109,108.43,108.89,107.87,107.34,106.85,106.41,106.05,105.78,105.6,105.59,106.09,107.11,108.58,110.49,112.81,116.79,120.93,125.18,129.55,134.01
9Y,106.79,107.58,106.6,106.08,107.24,105.57,105.09,104.64,104.26,103.94,103.72,103.59,103.67,104.25,105.32,106.85,108.78,111.1,114.85,118.75,122.79,126.95,131.21
10Y,104.38,105.26,104.38,103.89,105.69,103.43,102.99,102.59,102.25,101.98,101.8,101.71,101.88,102.52,103.66,105.22,107.17,109.49,113.04,116.76,120.62,124.61,128.71
12Y,100.67,101.61,100.82,100.39,102.8,99.97,99.58,99.23,98.94,98.72,98.58,98.54,98.77,99.48,100.62,102.18,104.09,106.32,109.54,112.93,116.48,120.18,123.99
15Y,95.95,96.96,96.27,95.91,98.96,95.54,95.2,94.89,94.67,94.5,94.41,94.41,94.71,95.5,96.65,98.19,100.04,102.17,105.06,108.14,111.39,114.8,118.26
20Y,88.42,89.77,89.31,89.06,93.55,88.82,88.61,88.44,88.32,88.27,88.2,88.41,88.92,89.83,91.13,92.75,94.6,96.67,99.29,102.08,105.06,108.19,111.45
25Y,81.75,81.7,80.78,80.34,85.81,79.95,79.61,79.34,79.17,79.09,79.13,79.3,80.06,81.38,83.2,85.37,87.75,90.5,93.21,96.31,99.58,103,106.53
